id;pasta;volume;imagem;ncb2;url_pagina;Categoria-1;Categoria-2;Categoria-3;ncb;purl;capa;tipo de material;língua;língua da obra original;título;subtítulo;título original;edição;publicação;data da publicação;data da publicação2;dimensões;autor;autor - organização;co-autores;autores secundários;co-autores - organizações;autores secundários - organizações;cota;coleção;id persistente;acesso
7760;865247;1;12;865247112;https://permalinkbnd.bnportugal.gov.pt/viewer/277488/?offset=#page=12&viewer=picture&o=info&n=0&q=;Imagens | 1747;Cantos - Cantos VII | 1756;Episódios - Visita do Rei de Melinde a Gama | 1761;865247;https://purl.pt/44369;https://bndigital.bnportugal.gov.pt//i/?IIIF=/19/da/c6/3c/19dac63c-de1a-423d-9ec3-cefde4d3ddc9/iiif/cam-285-4-v_0001.tif/full/!300,500/0/default.jpg;Livro impresso;Italiano;;Intorno al genovese Carlo Antonio Paggi;cenni;;1.ª ed.;Genova : Tip. R. Istituto Sordo-muti;1899;1899;11 p.;Araújo, Joaquim de, 1858-1917;;;;;;L. 14604 V.;CAM500;http://id.bnportugal.gov.pt/bib/catbnp/865247;Livre
7761;397837;1;9;39783719;https://permalinkbnd.bnportugal.gov.pt/viewer/272638/?offset=#page=9&viewer=picture&o=info&n=0&q=;Imagens | 1747;Cantos - Cantos VIII | 1757;"Episódios - Concílio ""Conselho dos Deuses"" | 1762";397837;https://purl.pt/44013;https://bndigital.bnportugal.gov.pt//i/?IIIF=/51/62/51/c6/516251c6-2d04-42df-9ed2-1f79910e6355/iiif/cam-291-v_0000_000005.tif/full/!300,500/0/default.jpg;Livro impresso;Português;;Os Lusiadas;segundo o têsto da primeira edição de 1572, com as variantes da 2ª edição impressa por Manoel de Lyra em 1584, e acrecentada com dois apêndices por A. J. Gonçálvez Guimarãis...;;1.ª ed.;Coimbra : Imprensa da Universidade;1923;1923;XIX, 3 p., 186 f., 75, 3 p., 2 extratextos;Camões, Luís de, 1524-1580;;;Guimarães, A. J. Gonçalves, 1850-1919, Editor literário;;;CAM. 291 V.;CAM500;http://id.bnportugal.gov.pt/bib/catbnp/397837;Livre
7762;397837;1;27;397837127;https://permalinkbnd.bnportugal.gov.pt/viewer/272638/?offset=#page=27&viewer=picture&o=info&n=0&q=;Imagens | 1747;Cantos - Cantos IX | 1758;Episódios - Sonho d'El-Rei D. Manuel, no qual lhe aparecem os rios Indo e Ganges | 1763;397837;https://purl.pt/44013;https://bndigital.bnportugal.gov.pt//i/?IIIF=/51/62/51/c6/516251c6-2d04-42df-9ed2-1f79910e6355/iiif/cam-291-v_0000_000005.tif/full/!300,500/0/default.jpg;Livro impresso;Português;;Os Lusiadas;segundo o têsto da primeira edição de 1572, com as variantes da 2ª edição impressa por Manoel de Lyra em 1584, e acrecentada com dois apêndices por A. J. Gonçálvez Guimarãis...;;1.ª ed.;Coimbra : Imprensa da Universidade;1923;1923;XIX, 3 p., 186 f., 75, 3 p., 2 extratextos;Camões, Luís de, 1524-1580;;;Guimarães, A. J. Gonçalves, 1850-1919, Editor literário;;;CAM. 291 V.;CAM500;http://id.bnportugal.gov.pt/bib/catbnp/397837;Livre
7763;397837;1;404;3978371404;https://permalinkbnd.bnportugal.gov.pt/viewer/272638/?offset=#page=404&viewer=picture&o=info&n=0&q=;Imagens | 1747;Cantos - Cantos X | 1759;Episódios - Assassínio de Inês de Castro | 1764;397837;https://purl.pt/44013;https://bndigital.bnportugal.gov.pt//i/?IIIF=/51/62/51/c6/516251c6-2d04-42df-9ed2-1f79910e6355/iiif/cam-291-v_0000_000005.tif/full/!300,500/0/default.jpg;Livro impresso;Português;;Os Lusiadas;segundo o têsto da primeira edição de 1572, com as variantes da 2ª edição impressa por Manoel de Lyra em 1584, e acrecentada com dois apêndices por A. J. Gonçálvez Guimarãis...;;1.ª ed.;Coimbra : Imprensa da Universidade;1923;1923;XIX, 3 p., 186 f., 75, 3 p., 2 extratextos;Camões, Luís de, 1524-1580;;;Guimarães, A. J. Gonçalves, 1850-1919, Editor literário;;;CAM. 291 V.;CAM500;http://id.bnportugal.gov.pt/bib/catbnp/397837;Livre
7764;277515;1;1;27751511;https://permalinkbnd.bnportugal.gov.pt/viewer/273872/?offset=#page=1&viewer=picture&o=info&n=0&q=;Imagens | 1747;Cantos | 1748;Episódios - Aparição do gigante Adamastor na passagem do Cabo de B. Esperança | 1765;277515;https://purl.pt/44217;https://bndigital.bnportugal.gov.pt//i/?IIIF=/0a/e2/5b/82/0ae25b82-9f91-4725-b06f-88317ff44913/iiif/cam-297-2-p_0000_000001.tif/full/!300,500/0/default.jpg;Livro impresso;Português;;Três excerptos dos Lusíadas;;;Ed. bilingue português latim frente a frente;Lisboa : Lallemant Fréres;1875;1875;XVI, 19 p.;Camões, Luís de, 1524-1580;;;Viale, António José, 1806-1889, Tradutor;;;L. 3672//6 P.;CAM500;http://id.bnportugal.gov.pt/bib/catbnp/277515;Livre
7765;865420;1;8;86542018;https://permalinkbnd.bnportugal.gov.pt/viewer/277739/?offset=#page=8&viewer=picture&o=info&n=0&q=;Imagens | 1747;Cantos | 1748;Episódios - Vénus aplaca os Ventos e a tormenta | 1766;865420;https://purl.pt/44401;https://bndigital.bnportugal.gov.pt//i/?IIIF=/20/aa/8d/69/20aa8d69-e05b-40db-af08-a1e289bc29f4/iiif/cam-298-v_0009.tif/full/!300,500/0/default.jpg;Livro impresso;Português;;Os Lusiadas;poema epico;;1.ª ed.;Paris : na Livr. Europea de Baudry;1846;1846;;Camões, Luís de, 1524-1580;;;Fonseca, José da, 1788-1866, Autor da introdução, etc.;;;CAM. 298 V.;CAM500;http://id.bnportugal.gov.pt/bib/catbnp/865420;Livre
7766;321756;1;12;321756112;https://permalinkbnd.bnportugal.gov.pt/viewer/273879/?offset=#page=12&viewer=picture&o=info&n=0&q=;Imagens | 1747;Episódios | 1749;Episódios - Desembarque de Gama em Calecut | 1767;321756;https://purl.pt/44033;https://bndigital.bnportugal.gov.pt//i/?IIIF=/70/be/ef/88/70beef88-9bbc-4c36-8a1f-3d782ff449eb/iiif/cam-301-p_0000_000007.tif/full/!300,500/0/default.jpg;Livro impresso;Português;;O Memorial de Camões;registo de anniversarios e lembranças;;1.ª ed.;Lisboa : Typographia da Companhia Nacional Editora;1892;1892;287, 1 p., 1 extratexto;;;;"Costa, José Fernandes, 1848-1920, Compilador ; Pedroso, João, 1823-1890, Ilustrador ; Ulrich, João Henrique, 1851-1895, (Obsoleto)";;;CAM. 301 P.;CAM500;http://id.bnportugal.gov.pt/bib/catbnp/321756;Livre
7767;321919;1;31;321919131;https://permalinkbnd.bnportugal.gov.pt/viewer/273869/?offset=#page=31&viewer=picture&o=info&n=0&q=;Imagens | 1747;Cantos - Cantos I | 1750;Episódios - Segunda Audiência do Samorim a Gama | 1768;321919;https://purl.pt/44111;https://bndigital.bnportugal.gov.pt//i/?IIIF=/7b/16/10/8f/7b16108f-ecc6-4dee-a50e-819649a15a89/iiif/cam-309-p_0000_000001.tif/full/!300,500/0/default.jpg;Livro impresso;Espanhol;;Poesias líricas;;;1.ª ed.;"Sevill ; Imprenta de E. Rasco,";1895;1895;XXI, 1, 481 p.;Lamarque de Novoa, José;;;Ruiz de Apodaca, Fernando Gabriel, Autor da introdução, etc.;;;CAM. 309 P.;CAM500;http://id.bnportugal.gov.pt/bib/catbnp/321919;Livre
7768;321919;1;35;321919135;https://permalinkbnd.bnportugal.gov.pt/viewer/273869/?offset=#page=35&viewer=picture&o=info&n=0&q=;Imagens | 1747;Cantos - Cantos II | 1751;Episódios - Ilha de Vénus | 1769;321919;https://purl.pt/44111;https://bndigital.bnportugal.gov.pt//i/?IIIF=/7b/16/10/8f/7b16108f-ecc6-4dee-a50e-819649a15a89/iiif/cam-309-p_0000_000001.tif/full/!300,500/0/default.jpg;Livro impresso;Espanhol;;Poesias líricas;;;1.ª ed.;"Sevill ; Imprenta de E. Rasco,";1895;1895;XXI, 1, 481 p.;Lamarque de Novoa, José;;;Ruiz de Apodaca, Fernando Gabriel, Autor da introdução, etc.;;;CAM. 309 P.;CAM500;http://id.bnportugal.gov.pt/bib/catbnp/321919;Livre
7769;321919;1;39;321919139;https://permalinkbnd.bnportugal.gov.pt/viewer/273869/?offset=#page=39&viewer=picture&o=info&n=0&q=;Imagens | 1747;Cantos - Cantos III | 1752;Episódios - Audiência d’El-Rei D. Manuel a Gama | 1770;321919;https://purl.pt/44111;https://bndigital.bnportugal.gov.pt//i/?IIIF=/7b/16/10/8f/7b16108f-ecc6-4dee-a50e-819649a15a89/iiif/cam-309-p_0000_000001.tif/full/!300,500/0/default.jpg;Livro impresso;Espanhol;;Poesias líricas;;;1.ª ed.;"Sevill ; Imprenta de E. Rasco,";1895;1895;XXI, 1, 481 p.;Lamarque de Novoa, José;;;Ruiz de Apodaca, Fernando Gabriel, Autor da introdução, etc.;;;CAM. 309 P.;CAM500;http://id.bnportugal.gov.pt/bib/catbnp/321919;Livre
