url,number
https://purl.pt/42601,281130
https://purl.pt/43876,273183
https://purl.pt/43557,272728
https://purl.pt/43561,272733
https://purl.pt/12259,33718
https://purl.pt/12253,33721
https://purl.pt/27596,36775
https://purl.pt/43841,274123
https://purl.pt/43556,272738
https://purl.pt/43744,274092
https://purl.pt/43744,274092
https://purl.pt/43436,272390
https://purl.pt/42613,280467
https://purl.pt/42613,280467
https://purl.pt/42613,280467
https://purl.pt/6233,36160
https://purl.pt/43574,272788
https://purl.pt/31492,88185
https://purl.pt/43578,272785
https://purl.pt/13721,38463
https://purl.pt/13722,38591
https://purl.pt/13740,1843
https://purl.pt/13738,37955
https://purl.pt/13739,38270
https://purl.pt/15135,39315
https://purl.pt/43564,272735
https://purl.pt/43566,272737
https://purl.pt/43555,272727
https://purl.pt/43565,272736
https://purl.pt/32817,16732
https://purl.pt/32817,16732
https://purl.pt/42660,268841
https://purl.pt/25720,33216
https://purl.pt/43560,272731
https://purl.pt/43562,272732
https://purl.pt/43558,272729
https://purl.pt/42921,272786
https://purl.pt/42921,272786
https://purl.pt/42921,272786
https://purl.pt/42921,272786
https://purl.pt/42921,272786
https://purl.pt/42921,272786
https://purl.pt/42921,272786
https://purl.pt/42921,272786
https://purl.pt/42921,272786
https://purl.pt/42921,272786
https://purl.pt/42921,272786
https://purl.pt/42921,272786
https://purl.pt/42921,272786
https://purl.pt/42921,272786
https://purl.pt/42921,272786
https://purl.pt/42921,272786
https://purl.pt/42921,272786
https://purl.pt/42921,272786
https://purl.pt/42921,272786
https://purl.pt/42921,272786
https://purl.pt/42921,272786
https://purl.pt/42921,272786
https://purl.pt/42921,272786
https://purl.pt/42921,272786
https://purl.pt/42921,272786
https://purl.pt/42921,272786
https://purl.pt/42921,272786
https://purl.pt/42921,272786
https://purl.pt/42921,272786
https://purl.pt/42921,272786
https://purl.pt/42921,272786
https://purl.pt/42921,272786
https://purl.pt/42921,272786
https://purl.pt/42921,272786
https://purl.pt/42921,272786
https://purl.pt/42921,272786
https://purl.pt/42921,272786
https://purl.pt/42921,272786
https://purl.pt/43559,272730
https://purl.pt/38119,67153
https://purl.pt/43576,272792
https://purl.pt/43584,272811
https://purl.pt/43585,272812
https://purl.pt/43591,281142
https://purl.pt/43591,281142
https://purl.pt/44278,276786
https://purl.pt/43997,274457
https://purl.pt/43998,274458
https://purl.pt/43999,274459
https://purl.pt/43980,274957
https://purl.pt/44000,272626
https://purl.pt/44000,272626
https://purl.pt/44000,272626
https://purl.pt/44000,272626
https://purl.pt/44000,272626
https://purl.pt/44000,272626
https://purl.pt/44000,272626
https://purl.pt/44000,272626
https://purl.pt/44000,272626
https://purl.pt/44000,272626
https://purl.pt/44000,272626
https://purl.pt/44000,272626
https://purl.pt/44000,272626
https://purl.pt/44000,272626
https://purl.pt/44000,272626
https://purl.pt/44000,272626
https://purl.pt/44000,272626
https://purl.pt/44000,272626
https://purl.pt/44000,272626
https://purl.pt/44000,272626
https://purl.pt/44000,272626
https://purl.pt/44000,272626
https://purl.pt/44000,272626
https://purl.pt/44000,272626
https://purl.pt/44000,272626
https://purl.pt/44000,272626
https://purl.pt/44000,272626
https://purl.pt/44000,272626
https://purl.pt/44000,272626
https://purl.pt/44000,272626
https://purl.pt/44973,279168
https://purl.pt/44973,279168
https://purl.pt/44973,279168
https://purl.pt/44973,279168
https://purl.pt/44973,279168
https://purl.pt/44973,279168
https://purl.pt/44973,279168
https://purl.pt/44973,279168
https://purl.pt/44001,273511
https://purl.pt/44001,273511
https://purl.pt/44001,273511
https://purl.pt/44001,273511
https://purl.pt/44001,273511
https://purl.pt/43971,274951
https://purl.pt/44002,273524
https://purl.pt/44002,273524
https://purl.pt/44002,273524
https://purl.pt/44002,273524
https://purl.pt/44062,275168
https://purl.pt/44062,275168
https://purl.pt/44065,275163
https://purl.pt/44063,275167
https://purl.pt/44344,280465
https://purl.pt/44344,280465
https://purl.pt/44344,280465
https://purl.pt/44344,280465
https://purl.pt/44344,280465
https://purl.pt/44344,280465
https://purl.pt/44344,280465
https://purl.pt/44344,280465
https://purl.pt/44344,280465
https://purl.pt/44344,280465
https://purl.pt/44344,280465
https://purl.pt/44344,280465
https://purl.pt/44344,280465
https://purl.pt/44344,280465
https://purl.pt/44344,280465
https://purl.pt/44344,280465
https://purl.pt/44344,280465
https://purl.pt/44344,280465
https://purl.pt/44344,280465
https://purl.pt/44344,280465
https://purl.pt/44344,280465
https://purl.pt/44344,280465
https://purl.pt/44344,280465
https://purl.pt/44344,280465
https://purl.pt/44344,280465
https://purl.pt/44344,280465
https://purl.pt/44061,275169
https://purl.pt/44064,275164
https://purl.pt/44095,275364
https://purl.pt/45009,279243
https://purl.pt/44993,279232
https://purl.pt/44155,276120
https://purl.pt/45036,279340
https://purl.pt/44185,276130
https://purl.pt/44190,273100
https://purl.pt/44190,273100
https://purl.pt/44190,273100
https://purl.pt/44005,273782
https://purl.pt/44005,273782
https://purl.pt/44005,273782
https://purl.pt/44005,273782
https://purl.pt/44005,273782
https://purl.pt/44005,273782
https://purl.pt/44005,273782
https://purl.pt/44005,273782
https://purl.pt/44005,273782
https://purl.pt/44005,273782
https://purl.pt/44005,273782
https://purl.pt/44005,273782
https://purl.pt/44005,273782
https://purl.pt/44005,273782
https://purl.pt/44005,273782
https://purl.pt/44005,273782
https://purl.pt/44005,273782
https://purl.pt/44005,273782
https://purl.pt/44005,273782
https://purl.pt/44005,273782
https://purl.pt/44005,273782
https://purl.pt/44005,273782
https://purl.pt/44005,273782
https://purl.pt/44005,273782
https://purl.pt/44005,273782
https://purl.pt/44005,273782
https://purl.pt/44005,273782
https://purl.pt/44005,273782
https://purl.pt/44005,273782
https://purl.pt/43957,272627
https://purl.pt/43957,272627
https://purl.pt/43957,272627
https://purl.pt/43957,272627
https://purl.pt/43957,272627
https://purl.pt/43957,272627
https://purl.pt/43957,272627
https://purl.pt/43957,272627
https://purl.pt/43957,272627
https://purl.pt/43957,272627
https://purl.pt/43957,272627
https://purl.pt/43957,272627
https://purl.pt/43957,272627
https://purl.pt/43957,272627
https://purl.pt/43957,272627
https://purl.pt/43957,272627
https://purl.pt/43957,272627
https://purl.pt/43957,272627
https://purl.pt/44314,277151
https://purl.pt/44314,277151
https://purl.pt/44314,277151
https://purl.pt/44314,277151
https://purl.pt/44314,277151
https://purl.pt/44314,277151
https://purl.pt/44314,277151
https://purl.pt/44314,277151
https://purl.pt/44314,277151
https://purl.pt/44314,277151
https://purl.pt/44314,277151
https://purl.pt/44314,277151
https://purl.pt/44308,277145
https://purl.pt/44308,277145
https://purl.pt/44308,277145
https://purl.pt/44308,277145
https://purl.pt/44308,277145
https://purl.pt/44308,277145
https://purl.pt/44308,277145
https://purl.pt/44308,277145
https://purl.pt/44308,277145
https://purl.pt/44308,277145
https://purl.pt/44007,273814
https://purl.pt/44007,273814
https://purl.pt/44007,273814
https://purl.pt/44007,273814
https://purl.pt/44007,273814
https://purl.pt/44007,273814
https://purl.pt/44007,273814
https://purl.pt/44007,273814
https://purl.pt/44315,277150
https://purl.pt/44315,277150
https://purl.pt/44315,277150
https://purl.pt/44315,277150
https://purl.pt/44315,277150
https://purl.pt/44315,277150
https://purl.pt/44315,277150
https://purl.pt/44315,277150
https://purl.pt/44315,277150
https://purl.pt/44315,277150
https://purl.pt/44315,277150
https://purl.pt/44315,277150
https://purl.pt/44312,281138
https://purl.pt/45043,1892
https://purl.pt/44309,277143
https://purl.pt/44311,277149
https://purl.pt/44311,277149
https://purl.pt/44311,277149
https://purl.pt/44311,277149
https://purl.pt/43961,272672
https://purl.pt/43961,272672
https://purl.pt/43961,272672
https://purl.pt/43961,272672
https://purl.pt/43961,272672
https://purl.pt/44009,272668
https://purl.pt/44009,272668
https://purl.pt/44009,272668
https://purl.pt/44009,272668
https://purl.pt/44009,272668
https://purl.pt/44009,272668
https://purl.pt/44313,277147
https://purl.pt/44313,277147
https://purl.pt/44313,277147
https://purl.pt/44277,276783
https://purl.pt/44277,276783
https://purl.pt/44285,276790
https://purl.pt/44285,276790
https://purl.pt/44285,276790
https://purl.pt/44285,276790
