id;Categoria-1;Categoria-2;Categoria-3;Categoria-4;Categoria-5;Categoria-6;Categoria-7;Categoria-8;Categoria-9;Categoria-10;Categoria-11;Categoria-12;Categoria-13;Categoria-14;Categoria-15;Categoria-16;Categoria-17;Categoria-18;Categoria-19;Categoria-20;Categoria-21;Categoria-22;Categoria-23;Categoria-24;Categoria-25;Categoria-26;Categoria-27;Categoria-28;Categoria-29;Categoria-30;Categoria-31;Categoria-32;Categoria-33;Categoria-34;Categoria-35;Categoria-36;Nota Língua;ncb;purl;capa;tipo de material;língua;língua da obra original;título;subtítulo;título original;edição;publicação;data da publicação;data da publicação2;dimensões;autor;autor - organização;co-autores;autores secundários;co-autores - organizações;autores secundários - organizações;cota;coleção;id persistente;acesso
6957;Bibliografia crítica - Obra | 412;Obra - Impressos - Paratextos - Obras (avulsas) - Outros | 119;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;798864;https://purl.pt/43423;https://bndigital.bnportugal.gov.pt//i/?IIIF=/c7/62/23/de/c76223de-5f31-4030-a77d-a7706d53fa5f/iiif/cam-978-p_0007.tif/full/!300,500/0/default.jpg;Livro impresso;Português;;Os Lusiadas;epopeia;;Ed. popular, conforme a 2ª de 1572 com um prospecto chronologico da vida do poeta, as variações e estâncias omittidas;Porto : Impr. Portuguesa;1870;1870;XXIV, 449 p.;Luís de Camões, 1524-1580;;;;;;CAM. 978 P.;CAM500;http://id.bnportugal.gov.pt/bib/catbnp/798864;Livre
6958;Recepção criativa - Paródia | 407;Iconografia - Impressos - Ilustrações da obra | 376;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Francês; completar título: parodie en vers burlesques, grotesques et sérieux ";1073966;https://purl.pt/43388;https://bndigital.bnportugal.gov.pt//i/?IIIF=/ea/d2/7f/fb/ead27ffb-1a01-4efb-bc04-cab1055acc6e/iiif/cam-1474-p_0005.tif/full/!300,500/0/default.jpg;Livro impresso;Italiano;;Il Maestro del Signorino;commedia in un atto;;1.ª ed.;Milano : Amalia Bettoni;1870;1870;56 p.;Francesco Coletti, 1821-1873;;;;;;CAM. 1474 P.;CAM500;http://id.bnportugal.gov.pt/bib/catbnp/1073966;Livre
6959;Bibliografia crítica - Estudo | 418;Celebrações - 1880 - Textos críticos | 469;Recepção criativa - Tematização | 409;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1718418;https://purl.pt/32817;https://bndigital.bnportugal.gov.pt//i/?IIIF=/a1/70/7e/52/a1707e52-7a21-4019-9844-bcd1b4aa3b5e/iiif/cn-1144-a_0000_000001.tif/full/!300,500/0/default.jpg;Partitura;Português;;Supplica dAmor;;;1.ª ed.;Lisboa : Lith. Castro R. Douradores 10;1870;1870;Partitura 4 p.;José Heliodoro Vargas Júnior, 1835-1920;;;Luís de Camões, 1524-1580, Autor;;Portugal. Conservatório Nacional. Escola de Música, Antigo possuidor;C.N. 1144 A.;CAM500;http://id.bnportugal.gov.pt/bib/catbnp/1718418;Livre
6960;Iconografia - Impressos - Mapas | 387;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;329068;https://purl.pt/44459;https://bndigital.bnportugal.gov.pt//i/?IIIF=/65/f1/71/96/65f17196-cef9-4dbe-a62b-09b243d2bca6/iiif/cam-381-p_0009.tif/full/!300,500/0/default.jpg;Livro impresso;Português;;Album de homenagens a Luiz de Camões;;;Nova edição dos principais escriptos em verso e prosa publicados pela imprensa periodica por occasião de se erigir o monumento que à memoria do egrégio poeta ...;Lisboa : Lallemant Fréres;1870;1870;6, XV, 1, 332, 3 p.;;;;António Maria de Almeida Neto, 1836-?, Editor literário;;;CAM. 381 P.;CAM500;http://id.bnportugal.gov.pt/bib/catbnp/329068;Livre
6961;Recepção criativa - Paródia | 407;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;788401;https://purl.pt/44797;https://bndigital.bnportugal.gov.pt//i/?IIIF=/85/90/da/27/8590da27-3f74-4a7d-9509-c59cbc45097f/iiif/cam-803-p_0007.tif/full/!300,500/0/default.jpg;Livro impresso;Francês;Português;Les Lusiades;;;1.ª ed.;Paris : Ernest Flammarion;1870;1870;318 p.;Luís de Camões, 1524-1580;;;Fernando de Azevedo e Silva, 1845-1924, Tradutor;;;CAM. 803 P.;CAM500;http://id.bnportugal.gov.pt/bib/catbnp/788401;Livre
6962;Bibliografia crítica - Estudo | 418;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;782738;https://purl.pt/44727;https://bndigital.bnportugal.gov.pt//i/?IIIF=/53/96/60/6e/5396606e-746e-45a4-acca-09d74fd70fad/iiif/cam-701-p_0007.tif/full/!300,500/0/default.jpg;Livro impresso;Português;;Os Lusíadas;poema épico;;Nova ed. popular conforme às ed. clássicas de 1572;Lisboa : Tip. de F. X. de Sousa & Filho;1870;1870;395 p.;Luís de Camões, 1524-1580;;;;;;CAM. 701 P.;CAM500;http://id.bnportugal.gov.pt/bib/catbnp/782738;Livre
6963;Recepção criativa - Centão [Cintra] | 408;Recepção criativa - Tematização | 409;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;256592;https://purl.pt/44006;https://bndigital.bnportugal.gov.pt//i/?IIIF=/e3/a6/f8/c7/e3a6f8c7-a533-4d47-9010-c5ef4ecb7cfa/iiif/cam-157-p_0000_000007.tif/full/!300,500/0/default.jpg;Livro impresso;Português;;Os Lusiadas;;;Edição popular, conforme a 2ª de 1572, com um prospecto chronologico da vida do poeta, e um retrato;Porto : Imprensa Portugueza;1869;1869;XXIV, 449, i. é. 451, 1 p., 1 estampa;Luís de Camões, 1524-1580;;;"João Franco Barreto, 1600-post. 1674, Editor literário ; Manuel de Faria e Sousa, 1590-1649, Editor literário ; José Arnaldo Nogueira Molarinho, 1828-1907, Gravador em metal";;Imprensa Portuguesa, Impressor;CAM. 157 P.;CAM500;http://id.bnportugal.gov.pt/bib/catbnp/256592;Livre
6964;Tradução - Impressos - Composições soltas e fragmentos - Lírica - Paratextos gerais | 235;Celebrações - 1880 - Traduções | 476;Iconografia - Impressos - Portadas | 392;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;259731;https://purl.pt/44356;https://bndigital.bnportugal.gov.pt//i/?IIIF=/c9/6a/ed/db/c96aeddb-85b1-406f-a926-a7c4d7647ad1/iiif/cam-260-p_0007.tif/full/!300,500/0/default.jpg;Livro impresso;Alemão;;Die Lusiaden;;;Dritte vielfach verbesserte Auflage;Leipzig : Fues's Verlag;1869;1869;XIV, 2, 410, 2 p.;Luís de Camões, 1524-1580;;;Johann Jacob Christian Donner, 1799-1875, Tradutor;;;CAM. 260 P.;CAM500;http://id.bnportugal.gov.pt/bib/catbnp/259731;Livre
6965;Bibliografia crítica - Estudo | 418;Recepção criativa - Centão [Cintra] | 408;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;790177;https://purl.pt/44830;https://bndigital.bnportugal.gov.pt//i/?IIIF=/be/44/08/f5/be4408f5-1fe9-4aee-b109-68b0e7c4745c/iiif/cam-878-p_0007.tif/full/!300,500/0/default.jpg;Livro impresso;Alemão;Português;Die Lusiaden;heroisch-epiches Gedicht;;1.ª ed.;Hildburghausen : Verlag des Bibliographishen Instituts;1869;1869;261 p.;Luís de Camões, 1524-1580;;;Karl Eitner, 1805-1884, Tradutor;;;CAM. 878 P.;CAM500;http://id.bnportugal.gov.pt/bib/catbnp/790177;Livre
6966;Vida - Ficção - Poesia | 16;Recepção criativa - Tematização | 409;Celebrações - 1880 - Vida | 470;Celebrações - 1880 - Recepção criativa - Tematização | 474;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;798869;https://purl.pt/44939;https://bndigital.bnportugal.gov.pt//i/?IIIF=/47/4a/53/40/474a5340-73e7-4773-ad1b-fabdab8f6a2b/iiif/cam-985-p_0005.tif/full/!300,500/0/default.jpg;Livro impresso;Alemão;Português;Sämmtliche Idyllen;;;1.ª ed.;Münster : Adolph Ruffell's Verlag;1869;1869;XXIII, 253 p.;Luís de Camões, 1524-1580;;;"C. Schlüter, ca. 18, Tradutor ; Wilhelm Storck, 1829-1905, Tradutor";;;CAM. 985 P.;CAM500;http://id.bnportugal.gov.pt/bib/catbnp/798869;Livre
6967;Vida - Ficção - Poesia | 16;Celebrações - 1880 - Vida | 470;Recepção criativa - Tematização | 409;Celebrações - 1880 - Recepção criativa - Tematização | 474;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;322001;https://purl.pt/43830;https://bndigital.bnportugal.gov.pt//i/?IIIF=/ce/ba/df/ab/cebadfab-48bf-40fe-bbfd-2b80fac563eb/iiif/cam-310-1-p_0000_000001.tif/full/!300,500/0/default.jpg;Livro impresso;Latim;;Amaryllidos Dircaei;in latinum sermonem translata ad usum Scholarum brasiliensium;;1.ª ed.;PotamopoliRio de Janeiro : ex typis Quirini & Fratis;1868;1868;4, IV, 4, 68 p.;Castro Lopes, 1848-?;;;;;;CAM. 310//1 P.;CAM500;http://id.bnportugal.gov.pt/bib/catbnp/322001;Livre
6968;Celebrações - 1880 - Periódicos | 471;;;;Celebrações - 1880 - Traduções | 476;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;636385;https://purl.pt/5757;https://bndigital.bnportugal.gov.pt//i/?IIIF=/77/c8/5e/5a/77c85e5a-2edc-447a-be9f-e3b9247fe8a1/iiif/e-1774-v_0000_000001.tif/full/!300,500/0/default.jpg;Iconografia;Português;;Monumento a Camões;;;1.ª ed.;S.l. : s.n.;1868;1868;1 gravura;Joaquim Pedro de Sousa, 1822-1878;;;Silêncio Cristão de Barros, 1798-1867, Impressor de ilustrações em chapa gravada;;;PURL 5757/0;CAM500;http://id.bnportugal.gov.pt/bib/catbnp/636385;Livre
6969;Bibliografias e catálogos - Catálogo | 551;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;369142;https://purl.pt/44585;https://bndigital.bnportugal.gov.pt//i/?IIIF=/a3/fd/88/fc/a3fd88fc-d9b1-4bb7-8dc7-6fb1888b2704/iiif/cam-483-p_0007.tif/full/!300,500/0/default.jpg;Livro impresso;Português;;Os Lusiadas;poema epico de Luis de Camões;;Nova edição para uso das escolas feita debaixo das vistas da mais acurada crítica em presença das duas edições primordiais...;Rio de Janeiro : Em casa dos Editores Eduardo & Henrique Laemmert;1868;1868;1 f.,441 p.;Luís de Camões, 1524-1580;;;;;;CAM. 483 P.;CAM500;http://id.bnportugal.gov.pt/bib/catbnp/369142;Livre
6970;Obra - Impressos - Composições soltas e fragmentos - Épica - Episódio | 67;Obra - Impressos - Paratextos - Obras (avulsas) - Outros | 119;Iconografia - Impressos - Ilustrações da obra | 376;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;397797;https://purl.pt/44736;https://bndigital.bnportugal.gov.pt//i/?IIIF=/9b/d6/f2/01/9bd6f201-e699-4b5f-9323-5597a62561fa/iiif/cam-706-p_0005.tif/full/!300,500/0/default.jpg;Livro impresso;Português;;Os Lusíadas;poema epico ...;;Nova ed;Lisboa : Typ. de L.C. da Cunha;1868;1868;397 p.;Luís de Camões, 1524-1580;;;;;;CAM. 706 P.;CAM500;http://id.bnportugal.gov.pt/bib/catbnp/397797;Livre
