id;Categoria-1;Categoria-2;Categoria-3;Categoria-4;Categoria-5;Categoria-6;Categoria-7;Categoria-8;Categoria-9;Categoria-10;Categoria-11;Categoria-12;Categoria-13;Categoria-14;Categoria-15;Categoria-16;Categoria-17;Categoria-18;Categoria-19;Categoria-20;Categoria-21;Categoria-22;Categoria-23;Categoria-24;Categoria-25;Categoria-26;Categoria-27;Categoria-28;Categoria-29;Categoria-30;Categoria-31;Categoria-32;Categoria-33;Categoria-34;Categoria-35;Categoria-36;Nota Língua;ncb;purl;capa;tipo de material;língua;língua da obra original;título;subtítulo;título original;edição;publicação;data da publicação;data da publicação2;dimensões;autor;autor - organização;co-autores;autores secundários;co-autores - organizações;autores secundários - organizações;cota;coleção;id persistente;acesso
6092;Obra - Impressos - Obras (avulsas) - Épica | 23;Obra - Impressos - Paratextos - Obras (avulsas) - Épica | 103;Iconografia - Impressos - Portadas | 392;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;453095;https://purl.pt/44009;https://bndigital.bnportugal.gov.pt//i/?IIIF=/88/00/15/96/88001596-d055-4919-978a-2399ff1eeca4/iiif/cam-1776-v_0000_000001.tif/full/!300,500/0/default.jpg;Livro impresso;Português;;Rimas;;;1.ª ed.;Coimbra : Livraria Almedina;1994;1994;LXXIX, 3, 429, 3 p.;Luís de Camões, 1524-1580;;;"Álvaro J. da Costa Pimpão, 1902-1984, Adaptador ; Aníbal Pinto de Castro, 1938-2010, Autor da apresentação";;;CAM. 1776 V.;CAM500;http://id.bnportugal.gov.pt/bib/catbnp/453095;Livre
6093;Obra - Impressos - Obras (avulsas) - Épica | 23;Obra - Impressos - Paratextos - Obras (avulsas) - Épica | 103;Iconografia - Impressos - Portadas | 392;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;396405;https://purl.pt/6115;https://bndigital.bnportugal.gov.pt//i/?IIIF=/11/21/33/35/11213335-0c6f-4347-8501-397d47049e54/iiif/e-2172-v_0000_1-2_p24-C-R0150_000001.tif/full/!300,500/0/default.jpg;Iconografia;Português;;Luís de Camões;;;1.ª ed.;Macau : Com. Org. Comem. Dia de Portugal de Camões e das Comunid. Portuguesas;1992;1992;1 imagem;Fernando Jorge Fialho, 1965-;;;;;;PURL 6115/0;;http://id.bnportugal.gov.pt/bib/catbnp/396405;Interno
6094;Obra - Manuscritos - Cancioneiros e miscelâneas - Lírica | 140;Recepção criativa - Tematização | 409;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;220128;https://purl.pt/43961;https://bndigital.bnportugal.gov.pt//i/?IIIF=/cd/57/7b/1a/cd577b1a-46b3-40c3-8f45-060aafb50cb2/iiif/cam-1719-v_0000_000001.tif/full/!300,500/0/default.jpg;Livro impresso;Português;;Os Lusíadas;;;2ª ed;Lisboa : Instituto de Cultura e Língua Portuguesa;1989;1989;LIX, 559, 1 br. p., 5 extratextos;Luís de Camões, 1524-1580;;;"Álvaro J. da Costa Pimpão, 1902-1984, Comentador de texto escrito ; Aníbal Pinto de Castro, 1938-2010, Autor da apresentação";;;P.P. 19179 V.;CAM500;http://id.bnportugal.gov.pt/bib/catbnp/220128;Livre
6095;Tradução - Impressos - Obras individuais - Épica | 151;Tradução - Impressos - Obras individuais - Épica - Paratextos gerais | 152;Tradução - Impressos - Obras individuais - Épica - Paratextos argumentos | 154;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;470616;https://purl.pt/39139;https://bndigital.bnportugal.gov.pt//i/?IIIF=/b2/91/d9/5c/b291d95c-4378-4f26-8936-fcf4d3b8b631/iiif/mp-215-a_0000_000001.tif/full/!300,500/0/default.jpg;Partitura;Português;;Canções profanas;para e canto e piano;;1.ª ed.;Lisboa : Valentim de Carvlho;1983;1983;Partitura 28 p.;Ivo Cruz, 1901-1985;;"Francisco de Sá de Miranda, 1481-1558, Autor de letras para trechos musicais ; Augusto Gil, 1873-1929, Autor de letras para trechos musicais ; António Nobre, 1867-1900, Autor de letras para trechos musicais ; Luís de Camões, 1524-1580, Autor de letras para trechos musicais";;;"Valentim de Carvalho. Conservatório Nacional. Escola de Música, Editor comercial ; Portugal. Conservatório Nacional. Escola de Música, Antigo possuidor";C.N. 2699 A.;CAM500;http://id.bnportugal.gov.pt/bib/catbnp/470616;Interno
6096;Tradução - Impressos - Obras individuais - Épica | 151;Tradução - Impressos - Obras individuais - Épica - Paratextos gerais | 152;Tradução - Impressos - Obras individuais - Épica - Paratextos argumentos | 154;Tradução - Impressos - Obras individuais - Épica - Paratextos notas | 155;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;36470;https://purl.pt/43754;https://bndigital.bnportugal.gov.pt//i/?IIIF=/d8/5c/43/f8/d85c43f8-9c55-4206-b414-1f428483360c/iiif/cam-1427-v_0000_000001.tif/full/!300,500/0/default.jpg;Livro impresso;Português;;"Normas para uma edição crítica de ""Os Lusíadas""";;;Edição póstuma com prefácio e revisão do prof. Sílvio Elia;Rio de Janeiro : Real Gabinete Português de Leitura;1981;1981;6, 82, 3 p.;Hamilton Aluízio Elia;;;;;;CAM. 1427 V.;CAM500;http://id.bnportugal.gov.pt/bib/catbnp/36470;Interno
6097;Tradução - Impressos - Obras individuais - Épica | 151;Tradução - Impressos - Obras individuais - Épica - Paratextos gerais | 152;Tradução - Impressos - Obras individuais - Épica - Paratextos argumentos | 154;Tradução - Impressos - Obras individuais - Épica - Paratextos notas | 155;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;251973;https://purl.pt/39844;https://bndigital.bnportugal.gov.pt//i/?IIIF=/e2/87/4b/ea/e2874bea-f246-4633-bd9b-517c7955a0df/iiif/cam-206-a_0000_000005.tif/full/!300,500/0/default.jpg;Livro impresso;Português;;Variações camonianas;;;1.ª ed.;Lisboa : Imprensa Nacional-Casa da Moeda;1981;1981;10 p., 21 estampas em bolsa de resguardo;José Augusto França, 1922-2021;;;José de Guimarães, Ilustrador;;;CAM. 206 A.;;http://id.bnportugal.gov.pt/bib/catbnp/251973;Interno
6098;Tradução - Impressos - Obras individuais - Épica | 151;Tradução - Impressos - Obras individuais - Épica - Paratextos gerais | 152;Tradução - Impressos - Obras individuais - Épica - Paratextos argumentos | 154;Iconografia - Impressos - Portadas | 392;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;36519;https://purl.pt/27194;https://bndigital.bnportugal.gov.pt//i/?IIIF=/86/a9/16/8c/86a9168c-2912-43f3-a571-6705c3ff0615/iiif/cam-1409-v_0000_capa-capa_t24-C-R0150_000001.tif/full/!300,500/0/default.jpg;Livro impresso;Português;;O bilinguismo castelhano-português na época de Camões;;;1.ª ed.;Paris : Fund. Calouste Gulbenkian - Centro Cult. Port.;1981;1981;p. 807-827;Pilar Vásquez Cuesta, 1926-2019;;;;;;CAM. 1409 V.;;http://id.bnportugal.gov.pt/bib/catbnp/36519;Interno
6099;Obra - Impressos - Obras (avulsas) - Épica | 23;Obra - Impressos - Paratextos - Obras (avulsas) - Épica | 103;Comentários - Impressos - Épica | 334;Iconografia - Impressos - Portadas | 392;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1917811;https://purl.pt/27836;https://bndigital.bnportugal.gov.pt//i/?IIIF=/8d/ff/2a/19/8dff2a19-54a5-4ad3-b5a6-94470c24be7f/iiif/pi-9193-p_0000_1-2_t24-C-R0150_000001.tif/full/!300,500/0/default.jpg;Iconografia;Inglês;;Gruta de Camões;Macau, circa 1835;;1.ª ed.;Macau : Tourist Information Bureau;1980;1980;1 postal;;;;;;;P.I. 9193 P.;;http://id.bnportugal.gov.pt/bib/catbnp/1917811;Livre
6100;Obra - Impressos - Obras (avulsas) - Teatro - Título das peças | 42;Obra - Impressos - Paratextos - Obras (avulsas) - Teatro | 111;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6786;https://purl.pt/40509;https://bndigital.bnportugal.gov.pt//i/?IIIF=/37/22/36/1b/3722361b-76ca-4305-bddd-d183a30ee250/iiif/l-70789-v_0000_000001.tif/full/!300,500/0/default.jpg;Livro impresso;Português;;O cancioneiro do Pe. Pedro Ribeiro;;;1.ª ed.;Lisboa : Imp. Nac.-Casa da Moeda;1980;1980;"2 t. em 1 v. 4, IX, 171 p. ; 4, 129, 4 p.";Carolina Michaëlis de Vasconcelos, 1851-1925;;;;;;L. 70789 V.;EODOPEN;http://id.bnportugal.gov.pt/bib/catbnp/6786;Livre
6101;Tradução - Impressos - Obras individuais - Épica | 151;Tradução - Impressos - Obras individuais - Épica - Paratextos gerais | 152;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9413;https://purl.pt/40198;https://bndigital.bnportugal.gov.pt//i/?IIIF=/ba/42/5c/2b/ba425c2b-606d-477e-8124-8e22e680f4c2/iiif/cam-1138-v_0000_000001.tif/full/!300,500/0/default.jpg;Periódico;Português;;Camões;;;1.ª ed.;Lisboa : Caminho;1980;1980;;;;;Óscar Lopes, 1917-2013, Director;;;CAM. 1138 V.;;http://id.bnportugal.gov.pt/bib/catbnp/9413;Interno
6102;Obra - Impressos - Obras (avulsas) - Épica | 23;Obra - Impressos - Paratextos - Obras (avulsas) - Épica | 103;Obra - Impressos - Paratextos - Obras (avulsas) - Épica - Argumentos | 105;Obra - Impressos - Paratextos - Obras (avulsas) - Épica - Notas | 106;Iconografia - Impressos - Portadas | 392;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1001679;https://purl.pt/8384;https://bndigital.bnportugal.gov.pt//i/?IIIF=/87/f5/5f/0a/87f55f0a-c5e2-495e-a7e9-6212d2fe64f8/iiif/ct-1398-a_0000_000001.tif/full/!300,500/0/default.jpg;Iconografia;Português;;Comemorações Camonianas;visita guiada ao Mosteiro dos Jerónimos;;1.ª ed.;Lisboa : Sec. Est. Comunicação Social;1977;1977;1 cartaz;;;;;;;CT. 1398 A.;;http://id.bnportugal.gov.pt/bib/catbnp/1001679;Interno
6103;Obra - Impressos - Obras (avulsas) - Lírica - Soneto | 35;Obra - Impressos - Obras (avulsas) - Lírica - Canção | 25;Obra - Impressos - Obras (avulsas) - Lírica - Sextina | 34;Obra - Impressos - Obras (avulsas) - Lírica - Ode | 32;Obra - Impressos - Obras (avulsas) - Lírica - Elegia | 28;Obra - Impressos - Obras (avulsas) - Lírica - Oitavas | 33;Obra - Impressos - Obras (avulsas) - Lírica - Écloga | 27;Obra - Impressos - Obras (avulsas) - Lírica - Mote | 31;Obra - Impressos - Obras (avulsas) - Lírica - Redondilhas | 36;Obra - Impressos - Obras (avulsas) - Lírica - Endechas | 29;Obra - Impressos - Obras (avulsas) - Lírica - Cantiga | 26;Obra - Impressos - Obras (avulsas) - Lírica - Esparsas | 30;Obra - Impressos - Paratextos - Obras (avulsas) - Lírica | 107;Iconografia - Impressos - Portadas | 392;;;;;;;;;;;;;;;;;;;;;;;;294237;https://purl.pt/42717;https://bndigital.bnportugal.gov.pt//i/?IIIF=/5c/0b/ef/e3/5c0befe3-2fb5-44cf-9e87-c0a282e74332/iiif/cam-1041-v_0000_000001.tif/full/!300,500/0/default.jpg;Livro impresso;Português;;Respigos camonianos;;;2ª ed;Lisboa : Academia Port. de Ex-Libris;1974;1974;31, 1 p.;José Leite de Vasconcelos, 1858-1941;;;;;;CAM. 1041 V.;;http://id.bnportugal.gov.pt/bib/catbnp/294237;Livre
6104;Obra - Impressos - Obras (avulsas) - Épica | 23;Obra - Impressos - Paratextos - Obras (avulsas) - Épica | 103;Iconografia - Impressos - Portadas | 392;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;347365;https://purl.pt/39791;https://bndigital.bnportugal.gov.pt//i/?IIIF=/17/5c/95/11/175c9511-0791-435d-baeb-26376205571d/iiif/cam-1050-v_0000_000001.tif/full/!300,500/0/default.jpg;Livro impresso;Português;;A família flaviense de Camões;;;1.ª ed.;Lisboa : Real Assoc. dos Arquitectos Civis e Arqueol. Portugueses;1974;1974;72, 5 p.;José Guilherme Calvão Borges, 1931-2001;;;;;;CAM. 1050 V.;;http://id.bnportugal.gov.pt/bib/catbnp/347365;Interno
6105;Obra - Impressos - Obras (conjunto) - Lírica - Soneto | 58;Obra - Impressos - Obras (conjunto) - Lírica - Canção | 48;Obra - Impressos - Obras (conjunto) - Lírica - Ode | 55;Obra - Impressos - Obras (conjunto) - Lírica - Sextina | 57;Obra - Impressos - Obras (conjunto) - Lírica - Elegia | 51;Obra - Impressos - Obras (conjunto) - Lírica - Oitavas | 56;Obra - Impressos - Obras (conjunto) - Lírica - Écloga | 50;Obra - Impressos - Obras (conjunto) - Lírica - Mote | 54;Obra - Impressos - Obras (conjunto) - Lírica - Cantiga | 49;Obra - Impressos - Obras (conjunto) - Lírica - Endechas | 52;Obra - Impressos - Obras (conjunto) - Lírica - Redondilhas | 59;Obra - Impressos - Obras (conjunto) - Lírica - Esparsas | 53;Obra - Impressos - Paratextos - Obras - Lírica | 125;Obra - Impressos - Obras (conjunto) - Cartas | 63;;;;;;;;;;;;;;;;;;;;;;;;139244;https://purl.pt/39789;https://bndigital.bnportugal.gov.pt//i/?IIIF=/63/8b/7d/2d/638b7d2d-0c75-48c9-85c7-4c3902059044/iiif/cam-987-v_0000_000001.tif/full/!300,500/0/default.jpg;Livro impresso;Português;;"O biógrafo de Camões Pedro de Mariz e os seus ""Diálogos de vária história""";;;1.ª ed.;Guimaräes : Cadernos Gil Vicente;1973;1973;42, 3 p.;A. Saraiva de Carvalho;;;;;;CAM. 987 V.;;http://id.bnportugal.gov.pt/bib/catbnp/139244;Interno
6106;Recepção criativa - Paródia | 407;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;353083;https://purl.pt/440;https://bndigital.bnportugal.gov.pt//i/?IIIF=/09/92/0f/6e/09920f6e-381c-4d94-80db-e2a9f6dc3e46/iiif/l-70785-v_0000_capa-capa_t08-G-R0150_000007.tif/full/!300,500/0/default.jpg;Livro impresso;Português;;Primeira parte dos autos e comédias portuguesas por António Prestes, Luis de Camões e outros autores portugueses;;;1.ª ed.;Lisboa : Lysia;1973;1973;16, 13, 1 p. ,2, 176, 1 f.;;;;"Hernâni Cidade, 1887-1975, Autor da introdução, etc. ; J. V. de Pina Martins, 1920-2010, Anotador";;;PURL 440/0;;http://id.bnportugal.gov.pt/bib/catbnp/353083;Interno
6107;Recepção criativa - Paródia | 407;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;468395;https://purl.pt/17305;https://bndigital.bnportugal.gov.pt//i/?IIIF=/24/d3/ac/2e/24d3ac2e-f6d4-423f-861b-26f5d865b2a0/iiif/cam-803-v_0000_capa-capa_t24-C-R0150_000003.tif/full/!300,500/0/default.jpg;Livro impresso;Inglês;Português;Camoëns and the man of Java;;;1.ª ed.;Macau : Imprensa Nacional;1972;1972;20 p.;Casimiro de Abreu, 1839-1860;;;Edgar C. Knowlton Junior, Tradutor;;;CAM. 803 V.;PCulture;http://id.bnportugal.gov.pt/bib/catbnp/468395;Interno
6108;Vida - Biografia | 13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;993818;https://purl.pt/7452;https://bndigital.bnportugal.gov.pt//i/?IIIF=/9e/ec/fb/41/9eecfb41-a554-46c6-80bc-4046aefebfad/iiif/ct-389-a_0000_000001.tif/full/!300,500/0/default.jpg;Iconografia;Francês;;Camões et les Lusiades;quatrième centenaire des Lusiades 1572 - hommage à Camões;;1.ª ed.;Bruxelles : M.E.N.;1972;1972;1 cartaz;;Bélgica. Ministère de lªEducation Nationale;;Fernand Baudin, Técnico gráfico;;;CT. 389 A.;;http://id.bnportugal.gov.pt/bib/catbnp/993818;Interno
6109;Recepção criativa - Paródia | 407;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;145213;https://purl.pt/27191;https://bndigital.bnportugal.gov.pt//i/?IIIF=/94/2b/90/bb/942b90bb-15b8-4746-af6d-f624a9060bf5/iiif/cam-900-v_0000_capa-capa_t24-C-R0150_000001.tif/full/!300,500/0/default.jpg;Livro impresso;Português;;Os Lusíadas e a botânica;;;1.ª ed.;Lisboa : Junta de Investigações do Ultramar;1972;1972;21 p.;Carlos das Neves Tavares, 1914-1972;;;;;;CAM. 900 V.;;http://id.bnportugal.gov.pt/bib/catbnp/145213;Interno
6110;Recepção criativa - Paródia | 407;Recepção criativa - Tematização | 409;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;289933;https://purl.pt/20913;https://bndigital.bnportugal.gov.pt//i/?IIIF=/66/b3/f4/35/66b3f435-5fe0-4a0c-b006-48c1c6534aeb/iiif/cam-252-a_0000_capa-capa_t24-C-R0150_000001.tif/full/!300,500/0/default.jpg;Livro impresso;Português;;3 retratos de Camões;;;1.ª ed.;Lisboa : Edições Panorama;1972;1972;1 f. desdobr.;;;;;;;S.N.I. 2696;;http://id.bnportugal.gov.pt/bib/catbnp/289933;Interno
6111;Vida - Biografia | 13;Vida - Ficção - Narrativa | 15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;306985;https://purl.pt/699;https://bndigital.bnportugal.gov.pt//i/?IIIF=/dc/72/87/43/dc728743-afba-4952-99d3-4700fdd71fbd/iiif/cam-186-a_0000_anterrosto-1_t24-C-R0150_000003.tif/full/!300,500/0/default.jpg;Livro impresso;Português;;Cancioneiro de Luís Franco Correa, 1557-1589;;;1.ª ed.;"Lisboa : Comissão Executiva do IV Centenário da Publicação de ""Os Lusíadas""";1972;1972;297 f.;Luís Franco Correia;;;Maria de Lurdes Belchior, 1923-1998, Autor da apresentação;;;PURL 699/0;LIVRARIA;http://id.bnportugal.gov.pt/bib/catbnp/306985;Interno
6112;Recepção criativa - Paródia | 407;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;468416;https://purl.pt/30175;https://bndigital.bnportugal.gov.pt//i/?IIIF=/e3/23/cc/7d/e323cc7d-18cc-41d9-9515-cac3185c347a/iiif/cam-809-v_0000_000005.tif/full/!300,500/0/default.jpg;Livro impresso;Português;;Dispersos originais portugueses;;;1.ª ed.;"Lisboa : Revista ""Ocidente""";1969;1969;3 v.;Carolina Michaëlis de Vasconcelos, 1851-1925;;;José Pedro Machado, 1914-2005, Editor literário;;;J.S. 928-3;EODOPEN;http://id.bnportugal.gov.pt/bib/catbnp/468416;Livre
6113;Obra - Impressos - Obras (conjunto) - Lírica - Soneto | 58;Obra - Impressos - Obras (conjunto) - Lírica - Canção | 48;Obra - Impressos - Obras (conjunto) - Lírica - Ode | 55;Obra - Impressos - Obras (conjunto) - Lírica - Sextina | 57;Obra - Impressos - Obras (conjunto) - Lírica - Elegia | 51;Obra - Impressos - Obras (conjunto) - Lírica - Oitavas | 56;Obra - Impressos - Obras (conjunto) - Lírica - Écloga | 50;Obra - Impressos - Obras (conjunto) - Lírica - Mote | 54;Obra - Impressos - Obras (conjunto) - Lírica - Cantiga | 49;Obra - Impressos - Obras (conjunto) - Lírica - Endechas | 52;Obra - Impressos - Paratextos - Obras - Lírica | 125;Obra - Impressos - Obras (conjunto) - Lírica - Redondilhas | 59;Obra - Impressos - Obras (conjunto) - Lírica - Esparsas | 53;Obra - Impressos - Obras (conjunto) - Cartas | 63;;;;;;;;;;;;;;;;;;;;;;;;613457;https://purl.pt/43563;https://bndigital.bnportugal.gov.pt//i/?IIIF=/d6/fc/1e/ec/d6fc1eec-5431-4985-ae4f-544438336cce/iiif/e-3525-p_0000_000001.tif/full/!300,500/0/default.jpg;Iconografia;Português;;Camões;;;1.ª ed.;S.l. : s.n.;1968;1968;1 imagem;;;;;;;E. 3525 P.;CAM500;http://id.bnportugal.gov.pt/bib/catbnp/613457;Livre
6114;Obra - Impressos - Obras (conjunto) - Lírica - Soneto | 58;Obra - Impressos - Obras (conjunto) - Lírica - Cantiga | 49;Obra - Impressos - Obras (conjunto) - Lírica - Canção | 48;Obra - Impressos - Obras (conjunto) - Lírica - Ode | 55;Obra - Impressos - Obras (conjunto) - Lírica - Sextina | 57;Obra - Impressos - Obras (avulsas) - Lírica - Elegia | 28;Obra - Impressos - Obras (conjunto) - Lírica - Oitavas | 56;Obra - Impressos - Obras (conjunto) - Lírica - Écloga | 50;Obra - Impressos - Obras (conjunto) - Lírica - Mote | 54;Obra - Impressos - Obras (conjunto) - Lírica - Endechas | 52;Obra - Impressos - Obras (conjunto) - Lírica - Redondilhas | 59;Obra - Impressos - Obras (conjunto) - Lírica - Esparsas | 53;Obra - Impressos - Obras (conjunto) - Lírica | 47;Obra - Impressos - Obras (conjunto) - Cartas | 63;;;;;;;;;;;;;;;;;;;;;;;;823010;https://purl.pt/17333;https://bndigital.bnportugal.gov.pt//i/?IIIF=/30/84/6f/2e/30846f2e-8231-41be-8f03-f25cfaa07751/iiif/l-86515-p_0000_capa-capa_t24-C-R0150_000003.tif/full/!300,500/0/default.jpg;Livro impresso;Português;;Mais exactamente problemas;;;1.ª ed.;S.l. : s.n.;1968;1968;1 v.;António Aragão, 1921-2008;;;;;;J.S. 10922;;http://id.bnportugal.gov.pt/bib/catbnp/823010;Interno
6115;Obra - Impressos - Obras (conjunto) - Lírica - Soneto | 58;Obra - Impressos - Obras (conjunto) - Lírica - Canção | 48;Obra - Impressos - Obras (conjunto) - Lírica - Ode | 55;Obra - Impressos - Obras (conjunto) - Lírica - Sextina | 57;Obra - Impressos - Obras (conjunto) - Lírica - Elegia | 51;Obra - Impressos - Obras (conjunto) - Lírica - Oitavas | 56;Obra - Impressos - Obras (conjunto) - Lírica - Écloga | 50;Obra - Impressos - Obras (conjunto) - Lírica - Mote | 54;Obra - Impressos - Obras (conjunto) - Lírica - Cantiga | 49;Obra - Impressos - Obras (conjunto) - Lírica - Endechas | 52;Obra - Impressos - Obras (conjunto) - Lírica - Redondilhas | 59;Obra - Impressos - Obras (conjunto) - Lírica - Esparsas | 53;Obra - Impressos - Paratextos - Obras - Lírica | 125;Obra - Impressos - Obras (conjunto) - Cartas | 63;;;;;;;;;;;;;;;;;;;;;;;;800889;https://purl.pt/43960;https://bndigital.bnportugal.gov.pt//i/?IIIF=/60/db/47/5e/60db475e-9b55-4468-b150-e21cb97c41e9/iiif/cam-1075-p_0000_000001.tif/full/!300,500/0/default.jpg;Livro impresso;Português;;Os Lusíadas;;;1.ª ed.;São Paulo : Editôra Cultrix;1966;1966;342, 2 p.;Luís de Camões, 1524-1580;;;Vítor Ramos, 1920-1974, Editor literário;;;CAM. 1075 P.;CAM500;http://id.bnportugal.gov.pt/bib/catbnp/800889;Livre
6116;Obra - Impressos - Obras (avulsas) - Épica | 23;Obra - Impressos - Paratextos - Obras (avulsas) - Épica | 103;Iconografia - Impressos - Portadas | 392;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2284;https://purl.pt/43957;https://bndigital.bnportugal.gov.pt//i/?IIIF=/f4/aa/32/ae/f4aa32ae-6c1c-4685-b497-6fb573476d75/iiif/cam-151-a_0000_000001.tif/full/!300,500/0/default.jpg;Livro impresso;Português;;Os Lusíadas;edição artística comemorativa do 3º Centenário da Restauração da Independência de Portugal;;Nova edição;Barcelos : Companhia Editora do Minho;1960;1960;LVII, 318, 2 p.;Luís de Camões, 1524-1580;;;"Hernâni Cidade, 1887-1975, Autor da introdução, etc. ; Joaquim Lopes, 1886-1956, Ilustrador ; Eleutério Cerdeira, 1876-?, Comentador de texto escrito";;;L. 6177 A.;CAM500;http://id.bnportugal.gov.pt/bib/catbnp/2284;Livre
6117;Obra - Impressos - Obras (avulsas) - Épica | 23;Obra - Impressos - Paratextos - Obras (avulsas) - Épica | 103;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1888900;https://purl.pt/42921;https://bndigital.bnportugal.gov.pt//i/?IIIF=/08/cf/57/16/08cf5716-9c50-4274-b8e1-245c41b95fe2/iiif/l-116593-p_0000_000001.tif/full/!300,500/0/default.jpg;Livro impresso;Português;;Os Lusíadas;;;1.ª ed.;Rio de Janeiro : Edições de Ouro;1958;1958;788, 12 p.;Luís de Camões, 1524-1580;;;Francisco da Silveira Bueno, 1898-, Editor literário;;;L. 116593 P.;CAM500;http://id.bnportugal.gov.pt/bib/catbnp/1888900;Livre
6118;Obra - Impressos - Obras (avulsas) - Épica | 23;Obra - Impressos - Paratextos - Obras (avulsas) - Épica | 103;Comentários - Impressos - Épica | 334;Obra - Impressos - Paratextos - Obras (avulsas) - Épica - Vida | 104;Obra - Impressos - Paratextos - Obras (avulsas) - Épica - Argumentos | 105;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;517373;https://purl.pt/22335;https://bndigital.bnportugal.gov.pt//i/?IIIF=/04/66/c6/42/0466c642-78f6-4fc5-95b5-363da6da589f/iiif/ct-144-g-cx_0000_000001.tif/full/!300,500/0/default.jpg;Iconografia;Português;;Camões;um filme de Leitão de Barros;;1.ª ed.;S.l. : s.n.;1946;1946;1 cartaz;;;;Abílio Pacheco de Carvalho, 1894-1987, Antigo possuidor;;Neogravura, Impressor;CT. 144 G. Cx.;CAM500;http://id.bnportugal.gov.pt/bib/catbnp/517373;Interno
6119;Obra - Impressos - Obras (conjunto) - Lírica | 47;Obra - Impressos - Obras (conjunto) - Cartas | 63;Obra - Impressos - Obras (conjunto) - Lírica - Soneto | 58;Obra - Impressos - Obras (conjunto) - Lírica - Canção | 48;Obra - Impressos - Obras (conjunto) - Lírica - Ode | 55;Obra - Impressos - Obras (conjunto) - Lírica - Sextina | 57;Obra - Impressos - Obras (conjunto) - Lírica - Elegia | 51;Obra - Impressos - Obras (conjunto) - Lírica - Oitavas | 56;Obra - Impressos - Obras (conjunto) - Lírica - Écloga | 50;Obra - Impressos - Obras (conjunto) - Lírica - Mote | 54;Obra - Impressos - Obras (conjunto) - Lírica - Cantiga | 49;Obra - Impressos - Obras (conjunto) - Lírica - Redondilhas | 59;Obra - Impressos - Obras (conjunto) - Lírica - Esparsas | 53;;;;;;;;;;;;;;;;;;;;;;;; Português;517897;https://purl.pt/43554;https://bndigital.bnportugal.gov.pt//i/?IIIF=/f2/02/1d/46/f2021d46-90b3-49c0-a774-3bee1cdaed11/iiif/ct-105-g-pl_0000_000001.tif/full/!300,500/0/default.jpg;Iconografia;Português;;Camões;um filme de Leitão de Barros, com António Vilar;;1.ª ed.;S.l. : s.n.;1946;1946;1 cartaz;;;;Abílio Pacheco de Carvalho, 1894-1987, Antigo possuidor;;Neogravura, Impressor;CT. 105 G. Pl.;CAM500;http://id.bnportugal.gov.pt/bib/catbnp/517897;Interno
